Type,Japanese,English, ,English description,Vocation,Game
Shield,サンダーエンチャント,Thunder Enchanter,,Enchants the weapon of both the user and any nearby pawns with Thunder.,Mystic Knight,Dragon's Dogma
Staff,サンダーギフトEX,Thunder Pact,,"An advanced form of Thunder Affinity that extends its duration and power, and further boosts the recipient's Magick.",Mage,Dragon's Dogma
Shield,サンダーガード2,Thunder Riposte,,An advanced form of Thundercounter that persists for a longer period of time and conjures High Levin .,Mystic Knight,Dragon's Dogma
Shield,サンダーガード,Thundercounter,,Unleashes a knockdown wave when the user blocks an attack. A perfect block conjures Levin .,Mystic Knight,Dragon's Dogma
Dagger,アギト裂き,Toss and Trigger,,Steps in with blade strike that sends the target aloft. Additional button presses throw and detonate a store of powder.,Ranger,Dragon's Dogma
Augment,加毒,Toxicity,,"Sharply increases the cumulative damage wrought by your poison attacks | Description is misleading; actually greatly increases the ability to inflict poison, but poison damage is not increased.",Assassin,Dragon's Dogma
Augment,狙撃,Trajectory,,"Causes your arrows to fly further | Affects bows, longbows, and magick bows. Doesn't improve damage at long range.",Ranger,Dragon's Dogma
Core Skill,,Transfix,,A stabbing strike straight forward.,Warrior,Dragon's Dogma
Bow,扇射ち,Triad Shot,,Fires three arrows in a wedge pattern.,Strider,Dragon's Dogma
Bow,扇射ち,Triad Shot,,Fires three arrows in a wedge pattern.,Assassin,Dragon's Dogma
Core Skill,追尾魔弓,True Seeker,,An advanced form of Seeker that boasts improved seeking capabilities.,Magick Archer,Dragon's Dogma
Sword,刀牙昇斬,Tusk Toss,,"Traces a grand skyward arc with the blade, sending lightweight foes into the air.",Mystic Knight,Dragon's Dogma
Core Skill,,Two Step,,A two-level stabbing strike straight forward.,Ranger,Dragon's Dogma
Sword,突き上げ斬り,Upward Strike,,Stabs foes then fiercely slashes upward. Can send foes flying high into the air.,Warrior,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Ranger,Dragon's Dogma
Augment,猛攻,Vehemence,,Augments your Strength | Strength is increased by 10%.,Augments,Dragon's Dogma
Augment,活性,Vigilance,,Extends the limit of your Health | Increases Health by 100,Augments,Dragon's Dogma
Staff,ディセーブルミスト,Voidspell,,Invokes a magickal sigil which restores any lowered offensive or defensive attributes of those who enter.,Sorcerer,Dragon's Dogma
Sword,魔吸陣2,Vortex Sigil,,An advanced form of Funnel Sigil that affects a larger area and remains active for a longer period of time.,Mystic Knight,Dragon's Dogma
Bow,吸魔痕2,Vortex Trail,,An advanced form of Funnel Trail that persists for a longer period of time and boasts an expanded range.,Magick Archer,Dragon's Dogma
Sword,獣惹き2,War Cry,,"An advanced form of Battle Cry that gives a roar that carries further, drawing the ire of more distant enemies.",Warrior,Dragon's Dogma
Bow,帯魔防,Ward Arrow,,Looses a magickal arrow that makes an ally impervious to all manner of debilitations for a time.,Magick Archer,Dragon's Dogma
Augment,残身,Watchfulness,,Halves the severity of wounds you sustain whilst your blade is sheathed | Halves damage taken when your blade is sheathed.,Assassin,Dragon's Dogma
Bow,渦巻き射ち,Whirling Arrow,,Looses a spinning arrow that delivers a barrage of hits to an area. Especially effective with Poison or Oil Arrows.,Ranger,Dragon's Dogma
Sword,突き上げ斬り2,Whirlwind Slash,,"An advanced form of Upward Strike. Stabs then slashes upward with greater force, sending foes even higher into the air.",Warrior,Dragon's Dogma
Bow,矢笛射ち,Whistle Dart,,"Looses an arrow that produces a piercing screech, halting foes for a moment's time.",Strider,Dragon's Dogma
Dagger,風まとい,Wind Harness,,"Hastens the user's movement for a time, even while under attack.",Assassin,Dragon's Dogma
Sword,風車斬り,Windmill Slash,,Carves foes to ribbons by spinning the blade while swinging it from side to side.,Assassin,Dragon's Dogma
Staff,ブリザードアローEX,Grand Gicel,,An advanced form of High Gicel that calls an even greater number of twisting ice spikes to thrust up from the ground.,Sorcerer,Dragon's Dogma
Staff,フリージングゾーン2,High Frazil,,An advanced form of Frazil that creates an expanded field of cold around the user that deals ice damage to those it touches.,Mystic Knight,Dragon's Dogma
Core Skill,,Feather Jump,,A light Jump. More effective when grabbing on to platforms and rocks.,Sorcerer,Dragon's Dogma
Core Skill,,Magick Bolt,,Launches a magick bolt from your staff. Press repeatedly for additional effect. Can add elemental effect via enchantments.,Sorcerer,Dragon's Dogma
Core Skill,,Magick Billow,,Emits a shockwave from your palm that sends weaker enemies or staggered stronger enemies flying away. Useful for preventing smaller enemies from swarming you. Can be used mid-air.,Sorcerer,Dragon's Dogma
Core Skill,フローティング,Levitate,,"An advanced form of Feather Jump that mitigates gravity's pull, enabling a gentle landing even from great heights.",Sorcerer,Dragon's Dogma
Core Skill,コレクトショット,Focused Bolt,,An advanced form of Magick Bolt. Focuses the user's active enchantment into a powerful burst that can be fired from the ground or air.,Sorcerer,Dragon's Dogma
Core Skill,マジックビット,Magick Agent,,An advanced form of Magick Billow. Conjures spheres of magickal energy around the user to attack encroaching foes. Also employable from mid-air.,Sorcerer,Dragon's Dogma
Staff,ファイアボール,Ingle,,"Looses a ball of fire that explodes upon contact, engulfing both the target and surrounding foes.",Sorcerer,Dragon's Dogma
Staff,フリージングゾーン,Frazil,,Creates a concentrated field of cold around the user that deals ice damage to whatever foe it touches.,Sorcerer,Dragon's Dogma
Staff,サンダーレイン,Levin,,Smites the enemy from above with tongues of lightning. Especially effective at driving foes out of hiding.,Sorcerer,Dragon's Dogma
Staff,ファイアギフト,Fire Boon,,Launches a bolt of magick that enchants an ally's weapon with fire.,Sorcerer,Dragon's Dogma
Staff,アイスギフト,Ice Boon,,Launches a bolt of magick that enchants an ally's weapon with ice.,Sorcerer,Dragon's Dogma
Staff,サンダーギフト,Thunder Boon,,Launches a bolt of magick that enchants an ally's weapon with thunder.,Sorcerer,Dragon's Dogma
Staff,ホーリーギフト,Holy Boon,,Launches a bolt of magick that enchants an ally's weapon with holy light.,Sorcerer,Dragon's Dogma
Staff,フリージングゾーン2,High Frazil,,An advanced form of Frazil that creates an expanded field of cold around the user that deals ice damage to those it touches.,Sorcerer,Dragon's Dogma
Staff,サンダーレイン2,High Levin,,An advanced form of Levin that smites foes with multiple lighting bolts from above.,Sorcerer,Dragon's Dogma
Staff,ブラインドウォーク,Blearing,,Invokes a magickal aura around the user that blinds foes who enter.,Sorcerer,Dragon's Dogma
Staff,フロストスパイク,Frigor,,Generates a giant spire of ice that can serve as a stepping stone.,Sorcerer,Dragon's Dogma
Staff,ファイアギフト2,Fire Affinity,,An advanced form of Fire Boon that augments the enchantment's duration as well as the recipient's Magick.,Sorcerer,Dragon's Dogma
Staff,アイスギフト2,Ice Affinity,,An advanced form of Ice Boon that augments the enchantment's duration as well as the recipient's Magick.,Sorcerer,Dragon's Dogma
Staff,ブラインドウォーク2,High Blearing,,"An advanced form of Blearing that invokes a larger aura around the user, blinding foes who enter.",Sorcerer,Dragon's Dogma
Staff,フレイムウォール2,High Comestion,,An advanced form of Comestion that invokes an even longer wall of flame easily able to ignite foes.,Sorcerer,Dragon's Dogma
Staff,サンダーウィップ2,High Brontide,,An advanced form of Brontide that calls forth a longer-lasting whip of lightning that drops more bolts when dismissed.,Sorcerer,Dragon's Dogma
Staff,ファイアボールEX,Grand Ingle,,An advanced form of High Ingle that looses a greater number of fiery projectiles that explode on contact.,Sorcerer,Dragon's Dogma
Staff,サンダーレインEX,Grand Levin,,An advanced form of High Levin that smites foe with an even greater number of lightning bolts.,Sorcerer,Dragon's Dogma
Staff,フロストスパイクEX,Grand Frigor,,An advanced form of High Frigor that generates an even greater quantity of icy spires.,Sorcerer,Dragon's Dogma
Staff,ファイアギフトEX,Fire Pact,,"An advanced form of Fire Affinity that extends its duration and power, and further boosts the recipient's Magick.",Sorcerer,Dragon's Dogma
Staff,アイスギフトEX,Ice Pact,,"An advanced form of Ice Affinity that extends its duration and power, and further boosts the recipient's Magick.",Sorcerer,Dragon's Dogma
Staff,サンダーギフトEX,Thunder Pact,,"An advanced form of Thunder Affinity that extends its duration and power, and further boosts the recipient's Magick.",Sorcerer,Dragon's Dogma
Staff,ホーリーギフトEX,Holy Pact,,"An advanced form of Holy Affinity that extends its duration and power, and further boosts the recipient's Magick.",Sorcerer,Dragon's Dogma
Core Skill,,Two Step,,A two-level stabbing strike straight forward.,Strider,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Strider,Dragon's Dogma
Core Skill,衝斬舞,Roundelay,,An advanced form of Two-Step that appends a whirling slash to victims.,Strider,Dragon's Dogma
Core Skill,連斬撃,Engrave,,An advanced form of a Carve that includes kicks after a flurry of dagger blows to strike at a broader range.,Strider,Dragon's Dogma
Core Skill,弐段跳躍,Double Vault,,An advanced form of Vault that kicks at the air to propel the user in a second leap.,Strider,Dragon's Dogma
Core Skill,転身,Forward Roll,,Curls forward into a tumble effective as an evasive maneuver.,Strider,Dragon's Dogma
Core Skill,,Loose,,Fires equipped bow. Can execute while moving.,Strider,Dragon's Dogma
Core Skill,早弓射ち,Quick-Loose,,Requires less time to notch the next arrow after firing.,Strider,Dragon's Dogma
Dagger,百裂斬り,Scarlet Kisses,,"Concentrates a flurry of slashes on a single point, easily shredding foes with meager endurance.",Strider,Dragon's Dogma
Dagger,アギト裂き,Toss and Trigger,,Steps in with blade strike that sends the target aloft. Additional button presses throw and detonate a store of powder.,Strider,Dragon's Dogma
Dagger,眩ませ縛り,Dazzle Hold,,Casts a firework explosive into the fray that stuns nearby foes.,Strider,Dragon's Dogma
Dagger,構え直し,Reset,,"Returns the user to a neutral stance, eliminating openings caused by other actions.",Strider,Dragon's Dogma
Dagger,百裂斬り2,Hundred Kisses,,"An advanced form of Scarlet Kisses that focuses a quick flurry of slashes on a single point, allowing for more strikes.",Strider,Dragon's Dogma
Dagger,構え直し2,Instant Reset,,"An advanced form of Reset employable even while under attack that returns the user to a neutral stance, eliminating openings caused by other actions.",Strider,Dragon's Dogma
Dagger,かまいたちEX,Shearing Wind,,"An advanced form of Cutting Wind that increases the attack range, the amount of strikes, and the speed of dash.",Strider,Dragon's Dogma
Dagger,百裂斬りEX,Thousand Kisses,,An advanced form of Hundred Kisses that heightens the speed and number of slashes in the flurry.,Strider,Dragon's Dogma
Bow,剛力射ち,Full Bend,,"Draws the bow with all the user's might, then looses a shot straight ahead.",Strider,Dragon's Dogma
Bow,扇討ち2,Pentad Shot,,An advanced form of Triad Shot that fires five arrows in a wedge pattern instead of three.,Strider,Dragon's Dogma
Bow,剛力射ち2,Mighty Bend,,"An advanced form of Full Bend that requires less time to nock the arrow, enabling faster successive firing.",Strider,Dragon's Dogma
Bow,連なり射ち2,Fivefold Flurry,,An advanced form of Threefold Arrow that fires five arrows in rapid succession.,Strider,Dragon's Dogma
Bow,剛力射ちEX,Terrible Bend,,An advanced form of Mighty Bend that further shortens the time required to nock the arrow.,Strider,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Warrior,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Assassin,Dragon's Dogma
Core Skill,,Onslaught,,Continuous attacks with one-handed sword.,Assassin,Dragon's Dogma
Core Skill,,Carve,,Continuous attacks with a dagger.,Assassin,Dragon's Dogma
Core Skill,,Two Step,,A two-level stabbing strike straight forward.,Assassin,Dragon's Dogma
Core Skill,,Loose,,Fires equipped bow. Can execute while moving.,Assassin,Dragon's Dogma
Core Skill,強連撃,Dire Onslaught,,An advanced form of Onslaught that strengthens a chain of one-handed sword slashes.,Assassin,Dragon's Dogma
Core Skill,衝斬舞,Roundelay,,An advanced form of Two-Step that appends a whirling slash to victims.,Assassin,Dragon's Dogma
Core Skill,連斬撃,Engrave,,An advanced form of a Carve that includes kicks after a flurry of dagger blows to strike at a broader range.,Assassin,Dragon's Dogma
Core Skill,早弓射ち,Quick-Loose,,Requires less time to notch the next arrow after firing.,Assassin,Dragon's Dogma
Core Skill,回り受け身,Controlled Fall,,"Tucks the body into a tight roll when falling, mitigating harm.",Assassin,Dragon's Dogma
Core Skill,弐段跳躍,Double Vault,,An advanced form of Vault that kicks at the air to propel the user in a second leap.,Assassin,Dragon's Dogma
Core Skill,転身,Forward Roll,,Rolls forward into a tumble effective as an evasive maneuver.,Assassin,Dragon's Dogma
Sword,刀牙昇斬,Tusk Toss,,"Traces a grand skyward arc with the blade, sending lightweight foes into the air.",Assassin,Dragon's Dogma
Sword,直下突きEX,Downcrush,,An advanced form of Downcrack that hits for greater damage and can land additional strikes on withdrawal.,Assassin,Dragon's Dogma
Dagger,百裂斬り,Scarlet Kisses,,"Concentrates a flurry of slashes on a single point, easily shredding foes with meager endurance.",Assassin,Dragon's Dogma
Dagger,かまいたち,Biting Wind,,"Dashes past the target with blades extended, delivering slashes that can be followed with further attacks on contact.",Assassin,Dragon's Dogma
Dagger,アギト裂き,Toss and Trigger,,Steps in with blade strike that sends the target aloft. Additional button presses throw and detonate a store of powder.,Assassin,Dragon's Dogma
Dagger,かまいたち2,Cutting Wind,,"An advanced form of Biting Wind. Slashes past the target, appending more strikes to the onslaught upon connecting with a foe.",Assassin,Dragon's Dogma
Dagger,眩ませ縛り,Dazzle Hold,,Casts a firework explosive into the fray that stuns nearby foes.,Assassin,Dragon's Dogma
Dagger,構え直し,Reset,,"Returns the user to a neutral stance, eliminating openings caused by other actions.",Assassin,Dragon's Dogma
Dagger,アギト裂き2,Advanced Trigger,,An advanced form of Toss and Trigger that both strengthens the upward slash and broadens the subsequent blast.,Assassin,Dragon's Dogma
Dagger,眩ませ縛り2,Dazzle Blast,,An advanced form of Dazzle Hold that tosses an explosive crafted to stun foes within a broader radius.,Assassin,Dragon's Dogma
Dagger,百裂斬り2,Hundred Kisses,,"An advanced form of Scarlet Kisses that focuses a quick flurry of slashes on a single point, allowing for more strikes.",Assassin,Dragon's Dogma
Dagger,構え直し2,Instant Reset,,"An advanced form of Reset employable even while under attack that returns the user to a neutral stance, eliminating openings caused by other actions.",Assassin,Dragon's Dogma
Dagger,かまいたちEX,Shearing Wind,,"An advanced form of Cutting Wind that increases the attack range, the amount of strikes, and the speed of the dash.",Assassin,Dragon's Dogma
Dagger,百裂斬りEX,Thousand Kisses,,An advanced form of Hundred Kisses that heightens the speed and number of slashes in the flurry.,Assassin,Dragon's Dogma
Augment,俊敏,Dexterity,,Enables you to clamber up cliffs and other terrain more quickly | No effect when climbing ladders or creatures,Augments,Dragon's Dogma
Augment,練気,Endurance,,Extends the limit of your Stamina | Increases stamina by 100.,Augments,Dragon's Dogma
Augment,制動,Damping,,Decreases recoil after firing your bow | No recoil after bow or longbow shots.,Augments,Dragon's Dogma
Augment,空撃,Eminence,,Renders your jumping attacks more powerful | Boosts Strength by 30% when jumping .,Augments,Dragon's Dogma
Augment,気力,Grit,,Helps you maintain your mobility when you run out of stamina | Halves the recovery time when you run out of stamina .,Augments,Dragon's Dogma
Augment,腕力,Arm-Strength,,Halves the Stamina consumed when you cling to objects or climb terrain | Halves the stamina drain when climbing . Doesn't affect climbing skill stamina use,Augments,Dragon's Dogma
Augment,脚力,Leg-Strength,,Renders your rank lighter for purpose of mobility | Decreases the effective encumbrance rank by one.,Augments,Dragon's Dogma
Augment,霊力,Equanimity,,"Amplifies your Magick when you stand at death's door | At Critical Health , Magick is increased by 50%. (20% in Dark Arisen )",Augments,Dragon's Dogma
Augment,加護,Intervention,,"""Reduces cumulative damage when you are debilitated by the Five Archmagicks | Description is misleading; prevents debilitation from various sources, not only of Archmagick origin",Augments,Dragon's Dogma
Augment,耐魔,Apotropaism,,Reduces damage sustained from Magick attacks | Magick based damage is reduced by 30 Health . (more so in Hard Mode ),Augments,Dragon's Dogma
Augment,祝福,Beatitude,,Increases the duration of curative magick's effects | The sigils of healing magick such as Halidom or Anodyne lasts 50% longer.,Augments,Dragon's Dogma
Augment,霊賛,Perpetuation,,Causes enchantments to persist for a longer period of time | Weapon enchantments last 30% longer. No effect on other magickal enchantments.,Augments,Dragon's Dogma
Augment,攻魔,Attunement,,Augments your Magick | Magick is increased by 10%.,Augments,Dragon's Dogma
Augment,守護,Inflection,,"Halves the severity of wounds you sustain whilst intoning spells | Halves the damage taken while preparing spells. (Bugged on , versions of Dark Arisen . Other versions are not affected.)",Augments,Dragon's Dogma
Augment,鉄壁,Bastion,,Greatly reduces damage sustained in physical attacks. | Mitigates incoming physical damage by 50 health points. (More so Hard Mode ),Augments,Dragon's Dogma
Augment,闘魂,Ferocity,,Increases the lethality of your Core Skills | Increases the power of all Core Skills by 10%.,Augments,Dragon's Dogma
Augment,覇気,Audacity,,Makes you harder to knock off your feet while charging an attack | Increases knockdown and stagger resistance when charging attacks.,Augments,Dragon's Dogma
Augment,渾身,Temerity,,Halves the damage taken while charging an attack | Works only for charged physical attacks not spells.,Augments,Dragon's Dogma
Augment,剛力,Impact,,Improves your ability to knock down opponents | Increases knockdown . Physical attacks as well as some spells benefit.,Augments,Dragon's Dogma
Augment,奮迅,Clout,,Greatly augments your Strength | Increases Strength by 20%.,Augments,Dragon's Dogma
Augment,達人,Proficiency,,Reduces the Stamina consumed when you perform a physical weapon skill | Reduces stamina used for physical melee attacks by 25%. (Does not benefit bows),Augments,Dragon's Dogma
Augment,長命,Longevity,,Extends the limit of your Health | Increases your Health by 100.,Augments,Dragon's Dogma
Augment,拡照,Radiance,,Radiance causes your lantern to illuminate a wider area | Causes your lantern to illuminate an area that is 20% wider.,Augments,Dragon's Dogma
Augment,痛撃,Morbidity,,Increases cumulative damage to foes you debilitate with non-Archmagick attacks | Description is misleading; actually increases the chance to inflict a non-elemental debilitation (Doesn't work with throwing items ).,Augments,Dragon's Dogma
Augment,狙撃,Trajectory,,"Causes your arrows to fly further | Affects bows, longbows, and magick bows. Doesn't improve damage at long range.",Augments,Dragon's Dogma
Augment,精密,Precision,,Keeps your arrows from flying off mark when you loose them whilst in motion | Reduces arrow spread when shooting whilst moving or strafing.,Augments,Dragon's Dogma
Augment,耐風,Stability,,Prevents mighty winds from hampering your mobility | Prevents stagger and knockdown from most wind buffets from creatures. (Doesn't improve movement in the Windworn Valley ).,Augments,Dragon's Dogma
Augment,覚醒,Awareness,,Greatly reduces damage sustained in Magick attacks | Reduces incoming magick damage by 50 health . (More so in Hard Mode ),Augments,Dragon's Dogma
Augment,魔波,Emphasis,,Augments the power of magick attacks designed to knock foes down | Increases knockdown power of most but not all spells.,Augments,Dragon's Dogma
Augment,談判,Suasion,,Enables you to negotiate higher prices for items and equipment you sell | Items sell for 15% more. (Stacks with the same augment on other party members).,Augments,Dragon's Dogma
Augment,制魔,Conservation,,"Reduces the Stamina consumed when you perform a magick weapon skill | Reduces the stamina used for both casting and holding most spells. Spells that require Magick Bows , Magick Shields , Daggers , or Swords generally do not benefit.",Augments,Dragon's Dogma
Augment,魔抗,Gravitas,,Makes it difficult for foes to knock you off your feet whilst you intone spells | Increases knockdown resistances during spell incantation.,Augments,Dragon's Dogma
Augment,開眼,Acuity,,Greatly augments your Magick | Increases Magick by 20%,Augments,Dragon's Dogma
Augment,速詠,Articulacy,,Diminishes the time required to intone any spell | Shortens all spell incantation time by 10%. (Stacks with Wyrmking's Ring ),Augments,Dragon's Dogma
Augment,剛健,Fortitude,,Reduces damage sustained from physical attacks | Physical damage is reduced by 30 health . (More so in Hard Mode ),Augments,Dragon's Dogma
Augment,巧守,Adamance,,Halves the Stamina consumed when you block attacks with your shield | Halves the stamina drain from blocking attacks with a shield.,Augments,Dragon's Dogma
Augment,堅守,Periphery,,Helps keep your footing when you block attacks with your shield | Increases ' Blocking ability ' of all shields.,Augments,Dragon's Dogma
Augment,激励,Reinforcement,,Pawns you aid temporarily take less damage from physical and Magick attacks | (verify),Augments,Dragon's Dogma
Augment,鼓舞,Retribution,,Grants Pawns you aid a temporary gain in their Strength and Magick | Pawns you aid from Unconsciousness gain 20% greater Strength and Magick for 1 minute.,Augments,Dragon's Dogma
Augment,心力,Sanctuary,,Improves your Defense and Magick Defense when you stand at death's door. | Description is erroneous - reduces physical damage to one health per strike at Critical Health . (no protection from magickal attacks),Augments,Dragon's Dogma
Augment,助勢,Restoration,,Increases the amount of Health restored when rescuing Pawns | Pawns aided from Unconsciousness are revived with 25% more health . (Stacks with the Wanderlust Ring ).,Augments,Dragon's Dogma
Augment,残身,Watchfulness,,Halves the severity of wounds you sustain whilst your blade is sheathed | Halves damage taken when your blade is sheathed.,Augments,Dragon's Dogma
Augment,夜叉,Entrancement,,"Increases your Stamina, but only at nightime | Increases stamina by 100 at night .",Augments,Dragon's Dogma
Augment,羅刹,Sanguinity,,"Increases your Health, but only at nightime | Increases health by 100 at night .",Augments,Dragon's Dogma
Augment,修羅,Bloodlust,,"Augments your Strength and mitigates damage taken, but only at nighttime | At night gain 70% Strength and Magick . (In Dark Arisen reduced to 20%). Also reduce Physical and Magick damage (More damage reduction in Hard Mode )",Augments,Dragon's Dogma
Augment,陰射,Preemption,,Multiplies the harm done by your attacks when targets are not in the battle stance. | (Probably bugged - sneak attacks gain a damage boost with or without this augment),Augments,Dragon's Dogma
Augment,加毒,Toxicity,,"Sharply increases the cumulative damage wrought by your poison attacks | Description is misleading; actually greatly increases the ability to inflict poison, but poison damage is not increased.",Augments,Dragon's Dogma
Augment,孤高,Autonomy,,Grants you additional Strength and Defenses when you venture forth alone | When solo gain 70% Strength and Magick (reduced to 20% in Dark Arisen ). Also reduce Physical and Magick damage. (More so in Hard Mode ).,Augments,Dragon's Dogma
Augment,探知,Detection,,"Expands one's field of vision, more easily revealing unknown areas of the map | Removes more of the fog from the map when exploring an area the first time.",Augments,Dragon's Dogma
Augment,英気,Potential,,Extends the limit of your stamina | Stamina is increased by 100.,Augments,Dragon's Dogma
Augment,体術,Resilience,,Halves the severity of injuries you sustain from falling | Halves Fall Damage .,Augments,Dragon's Dogma
Augment,魅了,Allure,,Doubles the increase in your affinity when you give items to non-pawns | (Probably bugged and has no significant increase in affinity gain from gifts),Augments,Dragon's Dogma
Augment,治癒,Regeneration,,Causes your Health to slowly return with the passage of time | Heal one health every three seconds.,Augments,Dragon's Dogma
Augment,魔襲,Magnitude,,Increases the effect when you debilitate adversaries with the Five Archmagicks | Description is misleading; only affects spells with debilitation as their primary effect. (Also bugged for some spells including Perdition .),Augments,Dragon's Dogma
Augment,抗体,Resistance,,Reduces cumulative damage when you are debilitated by non-Archmagick attacks | Description is misleading; actually greatly increases resistance to many sources debilitations including some from spells - in many cases practical immunity.,Augments,Dragon's Dogma
Core Skill,,Feather Jump,,A light jump. More effective when grabbing platforms or rocks.,Mage,Dragon's Dogma
Core Skill,,Magick Billow,,Swing your staff downward to stagger the enemy. Follow-up attacks can send the enemy to the ground.,Mage,Dragon's Dogma
Core Skill,,Magick Bolt,,Launches a magick bolt from your staff. Press repeatedly for additional effect. Can add elemental effect via enchantments.,Mage,Dragon's Dogma
Core Skill,フローティング,Levitate,,"An advanced form of Feather Jump that mitigates gravity's pull, enabling a gentle landing even from great heights.",Mage,Dragon's Dogma
Core Skill,マジックビット,Magick Agent,,An advanced form of Magick Billow. Conjures spheres of magickal energy around the user to attack encroaching foes.,Mage,Dragon's Dogma
Core Skill,コレクトショット,Focused Bolt,,An advanced form of Magick Bolt. Focuses the user's active enchantment into a powerful burst that can be fired from the ground or air.,Mage,Dragon's Dogma
Staff,ファイアボール,Ingle,,"Looses a ball of fire that explodes upon contact, engulfing both the target and surrounding foes.",Mage,Dragon's Dogma
Staff,フリージングゾーン,Frazil,,Creates a concentrated field of cold in front of the user that freezes solid whatever enemies it visits.,Mage,Dragon's Dogma
Staff,サンダーレイン,Levin,,Smites the enemy from above with tongues of lightning. Especially effective at driving foes out of hiding.,Mage,Dragon's Dogma
Staff,ダークネスギフト,Dark Boon,,Launches a bolt of magick that enchants an ally's weapon with darkness.,Mage,Dragon's Dogma
Staff,ファイアボール2,High Ingle,,An advanced form of Ingle that looses a number of fiery projectiles that explode on contact.,Mage,Dragon's Dogma
Staff,フリージングゾーン2,High Frazil,,An advanced form of Frazil that creates an expanded field of cold around the user that deals ice damage to those it touches.,Mage,Dragon's Dogma
Staff,サンダーレイン2,High Levin,,An advanced form of Levin that smites foes with multiple lighting bolts from above.,Mage,Dragon's Dogma
Staff,フレイムウォール,Comestion,,"Generates a towering wall of flame; though only modest in power, it ignites adversaries with ease.",Mage,Dragon's Dogma
Staff,フロストスパイク,Frigor,,Generates a giant chunk of ice that can serve as a stepping stone.,Mage,Dragon's Dogma
Staff,サンダーウィップ,Brontide,,"Wraps the users body in a whip-like bolt of lightning capable of damaging foes. (Attack with heavy and light attacks, press Jump to cancel)",Mage,Dragon's Dogma
Staff,サンダーギフト2,Thunder Affinity,,"An advanced form of Thunder Boon that extends and amplifies the enchantment, as well as the recipient's Magick.",Mage,Dragon's Dogma
Staff,ダークネスギフト2,Dark Affinity,,"An advanced form of Dark Boon that extends and amplifies the enchantment, as well as the recipient's Magick.",Mage,Dragon's Dogma
Staff,フレイムウォール2,High Comestion,,An advanced form of Comestion that invokes an even longer wall of flame easily able to ignite foes.,Mage,Dragon's Dogma
Staff,フロストスパイク2,High Frigor,,An advanced form of Frigor that generates three spires of ice. The last one can serve as a stepping stone.,Mage,Dragon's Dogma
Staff,サンダーウィップ2,High Brontide,,An advanced form of Brontide that calls forth a longer-lasting whip of lightning that drops more bolts when dismissed.,Mage,Dragon's Dogma
Staff,ファイアボールEX,Grand Ingle,,An advanced form of High Ingle that looses a greater number of fiery projectiles that explode on contact.,Mage,Dragon's Dogma
Staff,サンダーレインEX,Grand Levin,,An advanced form of High Levin that smites foe with an even greater number of lightning bolts.,Mage,Dragon's Dogma
Staff,フロストスパイクEX,Grand Frigor,,An advanced form of High Frigor that generates an even greater quantity of icy spires.,Mage,Dragon's Dogma
Staff,サンダーウィップEX,Grand Brontide,,An advanced form of High Brontide that erodes less Stamina and periodically drops lightning bolts around the user.,Mage,Dragon's Dogma
Staff,ダークネスギフトEX,Dark Pact,,"An advanced form of Dark Affinity that extends its duration and power, and further boosts the recipient's Magick.",Mage,Dragon's Dogma
Core Skill,,Carve,,Continuous attacks with a dagger.,Magick Archer,Dragon's Dogma
Core Skill,,Two Step,,A two-level stabbing strike straight forward.,Magick Archer,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Magick Archer,Dragon's Dogma
Core Skill,衝斬舞,Roundelay,,An advanced form of Two-Step that appends a whirling slash to victims.,Magick Archer,Dragon's Dogma
Core Skill,連斬撃,Engrave,,An advanced form of a Carve that includes kicks after a flurry of dagger blows to strike at a broader range.,Magick Archer,Dragon's Dogma
Core Skill,弐段跳躍,Double Vault,,An advanced form of Vault that kicks at the air to propel the user in a second leap.,Magick Archer,Dragon's Dogma
Core Skill,転身,Forward Roll,,Curls forward into a tumble effective as an evasive maneuver.,Magick Archer,Dragon's Dogma
Core Skill,,Feather Jump,,A light jump. More effective when grabbing to platforms or rocks.,Magick Archer,Dragon's Dogma
Core Skill,,Magick Billow,,Swing your staff downward to stagger the enemy. Follow-up attacks can send the enemy to the ground.,Magick Archer,Dragon's Dogma
Core Skill,,Magick Bolt,,Launches a magick bolt from your staff. Press repeatedly for additional effect. Can add elemental effect via enchantments.,Magick Archer,Dragon's Dogma
Core Skill,フローティング,Levitate,,"An advanced form of Feather Jump that mitigates gravity's pull, enabling a gentle landing even from great heights.",Magick Archer,Dragon's Dogma
Core Skill,コレクトショット,Focused Bolt,,An advanced form of Magick Bolt. Focuses the user's active enchantment into a powerful burst that can be fired from the ground or air.,Magick Archer,Dragon's Dogma
Core Skill,マジックビット,Magick Agent,,An advanced form of Magick Billow. Conjures spheres of magickal energy around the user to attack encroaching foes. Also employable from mid-air.,Magick Archer,Dragon's Dogma
Dagger,百裂斬り,Scarlet Kisses,,"Concentrates a flurry of slashes on a single point, easily shredding foes with meager endurance.",Magick Archer,Dragon's Dogma
