Japanese,English,english,speaker
ターグ,Tadhg,,
タラーテ集水路,Thalati Waterway,,
タラーテ集水路　中央通路,Thalati Waterway Central Passage,,
タラーテ集水路　最深部,Thalati Waterway Innermost Depths,,
タラーテ集水路　危険区域,Thalati Waterway: Dangerous Area,,
ターレス,Thales,,
アーク,The Ark,,
アーク　裏層,The Ark's Lower Level,,
アーク　裏層　危険区域,The Ark's Lower Level: Dangerous Area,,
アーク　裏層　貯蔵所,The Ark's Lower Level: Storage,,
アーク　裏層　宝物庫,The Ark's Lower Level: Treasury,,
黒狼団のアジト,The Black Wolves' Hideout,,
悼まれぬ者の葬室,The Burial Chamber of the Unmourned,,
悼まれぬ者の葬室 最深部,The Burial Chamber of the Unmourned Innermost Depths,,
悼まれぬ者の葬室 不死者の房,The Burial Chamber of the Unmourned: Cell of the Immortals,,
悼まれぬ者の葬室　火炎体の巣窟,Tomb of the Unmourned: Funeral Pyre,,
悪しき竜,The Evil Dragon,,
異人の洞窟,The Foreigner's Cave,,
異人の遺跡,The Foreigner's Remains,,
異人の塔,The Foreigner's Tower,,
異人の地下墓所,The Foreigner's Underground Tomb,,
巨鷲の宝物溜め,The Giant Eagle's Treasure Hoard,,
巨人の寝床,The Giant's Bed,,
黄金宮,The Golden Palace,,
遠吠えの前線,The Howling Front,,
隠匿の王間,The King's Hidden Chamber,,
豚喰いのねぐら,The Pig-Eater's Den,,
異界の狭間,The Rift,,
異界の狭間　深層部,The Rift's Inner Depths,,
異界の狭間・深層部　左淵,The Rift's Inner Depths: Left Pool,,
異界の狭間・深層部　右淵,The Rift's Inner Depths: Right Pool,,
唸り猿の縄張り,Roaring Ape's Territory,,
王家の墓,The Royal Family Mausoleum,,
第二のアーク,The Second Ark,,
歌姫の崖座,The Songstress' Cliff Perch,,
囚われし戦徒の間,Myrmidons' Prison,,
第三のアーク,The Third Ark,,
橋向かいの坑道,Bridgeside Tunnel,,
橋向かいの坑道　危険区域,Bridgeside Tunnel: Dangerous Area,,
橋向かいの坑道　広間,Bridgeside Tunnel: Hall,,
橋向かいの坑道　鍾乳洞,Bridgeside Tunnel: Limestone Cave,,
橋向かいの坑道　鉱石路,Bridgeside Tunnel: Ore Bed,,
白竜,The White Dragon,,
白竜神殿レーゼ,The White Dragon Temple,,
白竜神殿,The White Dragon Temple,,
白竜神殿レーゼ（中央広場）,The White Dragon Temple (Central Plaza),,
白竜神殿レーゼ（大門前）,The White Dragon Temple (Front Gate),,
テア,Thea,,
テオドール,Theodor,,
テオドール錬金工房,Theodor's Alchemy Workshop,,
トマス,Thomas,,
トマソン,Thomason,,
トリン,Thorin,,
ゴロツキ,Thug,,
ゴロツキリーダー,Thug Leader,,
轟咆洞,Thundering Roar Cave,,
轟咆洞 深層部,Thundering Roar Cave Inner Depths,,
轟咆洞 脇道,Thundering Roar Cave: Byway,,
ティメル,Timur,,
トビアス,Tobias,,
トビー,Toby,,
トニオ,Tonio,,
トレアサ,Treasa,,
トロッガ,Troggh,,
イヴァノスの塔,Tower of Ivanos,,
トユガル,Toyugaru,,
エルセン商会,Trading Company,,
修練の祠,Training Chapel,,
鍛練の小部屋,Training Room,,
旅人,Traveler,,
旅の女性ハンター,Traveling Female Hunter,,
トラバース,Travers,,
眺樹の丘,Treeview Hill,,
喧噪の跡地,Tumult Site,,
双輪の谷,Twin Wheel Valley,,
ウガウ,Ugau,,
ウルタ古水路,Ulta Ancient Watercourse,,
ウルタ古水路 通路,Ulta Ancient Watercourse: Passage,,
ウルタン,Ultan,,
地下納骨堂,Underground Crypt,,
地下通用口,Underground Side Entrance,,
地下倉庫,Underground Stores,,
ウルダ,Urda,,
ウルテカ山岳,Urteca Mountains,,
欠緑の林,Blighted Woods,,
渓谷の小堂,Valley Chapel,,
ヴァルテブル・ホール,Valtable Hall,,
ヴァルテブル・ホール　地下深部,Valtable Hall Deep Underground,,
ヴァルテブル・ホール　地下最深部,Valtable Hall Deepest Underground,,
ヴァルテブル・ホール　地下,Valtable Hall Underground,,
ヴァルテブル・ホール　上部,Valtable Hall Upper Area,,
ヴァネッサ,Vanessa,,
ヴァネッサの私室,Vanessa's Private Room,,
ヴェイガサス回廊,Vegasa Corridor,,
ヴェイガサス回廊　中央通路,Vegasa Corridor Center Passage,,
ヴェイガサス回廊　左通路,Vegasa Corridor Left Passage,,
ヴェイガサス回廊　右通路,Vegasa Corridor Right Passage,,
バーノン,Vernon,,
バーサ,Versa,,
古参の覚者,Veteran Arisen,,
歴戦の戦士,Veteran Knight,,
ヴァイスロット,Vicelot,,
ヴィクトル,Victor,,
ビデリア,Videlia,,
助けを求める村人男,Village male seeking help,,
助けを求める村人女,Village woman seeking help,,
村の枯れ井戸,Village's Abandoned Well,,
村人,Villager,,
訪いの広場,Visiting Square,,
ボルドー,Volden,,
ボルド大鉱山,Volden Great Mines,,
ボルド大坑道,Volden Large Tunnels,,
ボルド鉱山,Volden Mines,,
ボルド小坑道,Volden Narrow Tunnels,,
ヴォーラ,Vora,,
淀みの渦,Vortex of Stagnation,,
嘆きの湿原,Wailing Wetland,,
ウォルト,Walt,,
ウォルター,Walter,,
流浪の探究者,Wandering Seeker,,
ワンゴ,Vango,,
戦鬼の陣屋,War Demons' Encampment,,
戦鬼の影穴,War Demons' Hideout,,
戦の将,War Master,,
歪みの樹冠,Warped Canopy,,
ウォリアー,Warrior,,
水獣の棲み処,Water Beasts' Habitat,,
取水場跡,Water Channel Ruins,,
水竜の王,Water Dragon King,,
水流制御室,Flow Control Room,,
滝鳴洞穴,Echo Cascade Cavern
,,
滝鳴洞穴　東,Echo Cascade Cavern
 East,,
滝鳴洞穴　北,Echo Cascade Cavern
 North,,
滝鳴洞穴　南,Echo Cascade Cavern
 South,,
滝鳴洞穴　西,Echo Cascade Cavern
 West,,
瀑布の大岩窟,Cataract Cavern,,
水底の古道,Watersdeep Old Road,,
物憂げなハーピー,Weary Harpy,,
屍のすすり泣く地,Weeping Corpse Ground,,
ダウ渓谷 西側,West Dowe Valley,,
フェルヤナ荒原 西側,West Feryana Wilderness,,
暗黒の統べる地　西端,West Land of Darkness,,
西ミスリウ橋,West Mysree Bridge,,
ザンドラ禁域 西側,West Zandora Wastelands,,
ウルテカ山岳 西部,Western Urteca Mountains,,
船着き場,Wharf,,
リンウッド組合宿　白鹿亭,White Deer Inn,,
白衛騎士団員,Knight of the White Guard Order,,
白衛騎士団3,Knight of the White Guard Order 3,,
白砂河原,White Sands Riverbank,,
ポーン会話用ワイルド,Wild Pawn,,
ウィルソン,Wilson,,
ワイニ,Wine,,
崩れかけたワイン庫,Wine Cellar Ruins,,
翼風高原,Galewing Plateau,,
ウィニー,Winnie,,
薄煙の荒れ地,Wispy Wasteland,,
藤棚の枯井戸,Dead Blooms' Well,,
藤棚の枯井戸　中央通路,Dead Blooms' Well Center Passage,,
藤棚の枯井戸　最深部,Dead Blooms' Well: Depths,,
予備枠,Witness,,
女,Woman,,
女性,Woman,,
子供連れの女性,Woman with children,,
傷付いた戦士,Wounded Warrior,,
ヤンクス,Yanks,,
ヤンクスの武器屋,Yanks' Weapon Shop,,
イミズディット遺跡,Yimidhitt Ruins,,
イミズディット遺跡 深層部,Yimidhitt Ruins Inner Depths,,
イミズディット遺跡 通路,Yimidhitt Ruins: Passage,,
ヨナス,Jonas,,
ユーイン,Eoin,,
ユセフ,Youssef,,
ユイアト,Yuiato,,
ユーミット,Umit,,
ユニ,Yuni,,
ユーリ,Yuri,,
ザカリー,Zachary,,
ザンドラ礼拝堂,Zandora Chapel,,
ザンドラ灯台,Zandora Lighthouse,,
ザンドラ禁域,Zandora Wastelands,,
標の祠　ザンドラ禁域,Zandora Wastelands Shrine,,
ゼフ,Zef,,
ゼキ,Zeki,,
ツエッペリ,Zeppeli,,
ゼルキン,Zerkin,,
ゾルタ,Zolta,,
ゾマ,Zoma,,
ズール,Zuhl,,
ズタン,Thud,,
【紡ぎし望み】悪しき竜のねぐら,【Spun Hope】 Evil Dragon's Roost,,
修練用, Training ,,
捕囚サイクロプス, Captive Cyclops ,,
さまようポーン, Lost Pawn ,,
要警戒, Vigilant ,,
凶悪, Brutal ,,
危機的, Dangerous ,,
伝説級, Legendary ,,
八騎喰らい, Yakki Gourmet ,,
百騎喰らい, Hyakki Gourmet ,,
万騎喰らい, Knight Eater ,,
亡都巨人兵, Ruins Giant Warrior ,,
ゴブリンの尖兵, Goblin Vanguard ,,
ゴブリンの哨戒兵, Goblin Patrol ,,
ゴブリンの補給兵, Goblin Reinforcement ,,
オーク侵略兵, Orc Invader ,,
キラービー進攻種, Invasive Killer Bee ,,
5本角のガルゴ, Galugo the Pentagram ,,
ガルゴの手下, Galugo's Minion ,,
集いし, Flocking ,,
森乱のエイプ, Disturbed Forest Ape ,,
囚われし, Captive ,,
さまよえるポーン, Wandering Pawn ,,
異形の大スケルトン, Large Deformed Skeleton ,,
精錬, Refined ,,
人喰い, Man-Eating ,,
猛る, Fierce ,,
縄張り荒らしの巨人, Territorial Giant ,,
縄張り荒らしの妖鳥, Territorial Demon Bird ,,
砦破り, Fort-Breaker ,,
強襲の, Assault ,,
召喚されし牙竜, Summoned Fanged Dragon ,,
異形のオオカミ, Deformed Wolf ,,
異形のゴブリン, Deformed Goblin ,,
オーク尖兵, Orc Vanguard ,,
軍狼, Wolf Unit ,,
オーク軍指揮官, Orc Commander ,,
オーク突撃兵, Orc Assailant ,,
軍竜, Dragon Unit ,,
オーク追撃兵, Orc Pursuer ,,
オーク投撃兵, Orc Thrower ,,
オーク軍少将, Orc Major General ,,
番兵, Guard ,,
オーク兵, Orc Soldier ,,
オーク精鋭兵, Orc Elite ,,
黒鉄の巨人兵, Black Iron Giant Warrior ,,
錬魔スケルトン, Alchemized Skeleton ,,
氷竜, Ice Dragon ,,
オーク残存兵, Orc Remnant ,,
錬魔ゴブリン, Alchemized Goblin ,,
紫銅の巨人兵, Copper Giant Warrior ,,
炎練, Flame training ,,
錬成強化グリフィン, Reinforcement Griffin ,,
錬魔ハーピー, Alchemized Harpy ,,
時番, Time Bonus ,,
鍵守り, Key Keeper ,,
兎喰らいの, Rabbit-Eating ,,
ビンシャの手下, Binsha's Henchman ,,
橋守のビンシャ, Binsha the Bridge-Keeper ,,
変種, Variant ,,
大喰いのラージリザード, Gluttonous Giant Saurian ,,
黒狼団のローグ, Black Wolf Rogue ,,
黒狼団の首領, Black Wolf Leader ,,
隠れ浜のならず者, Hidden Beach Rogue ,,
マーテル・ハーピー, Mother Harpy ,,
棘角のギョームル, Gyumul the Spiked Horn ,,
ギョームルの手下, Gyumul's Minion ,,
ルフローの亡霊, Specter of Ruflow ,,
村民の成れの果て, Former Villager ,,
青爪浜の, Blueclaw Beach ,,
グリッガの手下, Gurigga's Minion ,,
緑鬼グリッガ, Gurigga the Green Demon ,,
唸り猿, Howler Ape ,,
裂き猿, Ripper Ape ,,
豚喰い猿, Pig-Eating Ape ,,
オールドグロウ・エント, Old Grown Ent ,,
古代種, Ancient ,,
坑道荒らし, Tunnel Thief ,,
宝狩りのグリフィン, Treasure Seeking Griffin ,,
盗掘種, Grave Robber ,,
奇種, Strange ,,
タイガーテール・サルファー, Sulfur Tiger-Tail ,,
スノーグーラー・ハーピー, Snow Gura Harpy ,,
妖歌のローレライ, Demon Songstress Lorelei ,,
剛腕のコロッサス, Gowan the Colossus ,,
オッドの精鋭, Odd's Elite ,,
盾破りのオッド, Odd the Shield-Breaker ,,
レイクニュート, Lake Newt ,,
セラー湖の水竜, Water Dragon of Cera Lake ,,
葉影の密猟者, Shadow Poacher ,,
密猟者の護衛, Poacher Guard ,,
忘れられた亡霊, Forgotten Specter ,,
目覚めし亡者, Enlightened Undead ,,
さまよう亡者, Wandering Undead ,,
帰還のヨトン, Jotun the Returned ,,
コバルトニュート, Cobalt Newt ,,
遠征準備の小隊長, Battle-Ready Platoon Leader ,,
オーク遊撃兵, Orc Spy ,,
オーク偵察兵, Orc Spy ,,
強化養成ワーグ, Strength Training Warg ,,
魔犬飼育担当兵長, Kennel Keeper ,,
魔犬飼育担当兵, Dog Catcher ,,
双牙の軍竜ベヘモット, Bifang Military Dragon Behemoth ,,
淀みの泥人形, Clay Doll of Stagnation ,,
淀みの水精, Crystal of Stagnation ,,
泉の徘徊霊, Wandering Spirit of the Spring ,,
エルフイーター・, Elf Eater ,,
錆鉄の巨人兵, Rusted Iron Giant Warrior ,,
錆鉄の錬魔ゴブリン, Rusted Alchemized Goblin ,,
メルゴダ巡視兵団, Mergoda Patrol Corps ,,
メルゴダ女守官, Mergoda Female Officer ,,
ザンドラ・バルバロイ, Zandora Barbarian ,,
大将級オーク残党頭, Orc General Remnant ,,
オーク残党兵, Orc Remnants ,,
嘆きのモーラ, Wailing Mora ,,
白獅子アルバス, White Lion Albus ,,
斥候のコロッサス, Colossus Patrol ,,
強襲用コロッサス, Assault Colossus ,,
不浄の土人形, Foul Earth Figure ,,
不浄の肉塊虫, Foul Meat Lump ,,
炎熱のジオゴーレム, Torrid Geo Golem ,,
テイムド・, Tamed ,,
テイマー・バルバロイ, Tamer Barbarian ,,
虚ろの処刑人, Hollow Executioner ,,
祠の守兵, Shrine Guard ,,
合成用ゴブリンアルケミー, Synthetic Alchemized Goblin ,,
合成用アイ, Synthetic Eye ,,
メルガン・エンジニア, Mergan Engineer ,,
ギガン・マキナ・カスタム, Giga Machina Custom ,,
クローン・ズール, Clone Zuhl ,,
先発隊長, Vanguard Commander ,,
切込隊長, Raid Commander ,,
先発兵, Vanguard Soldier ,,
呪われた骸, Cursed Skeleton ,,
呪われた魔女, Cursed Witch ,,
呪われた女帝, Cursed Empress ,,
討伐対象, Suppression Target ,,
レイド・, Raid ,,
路番の, Path-Guard ,,
穢れの助神官, Defiled Assistant Priest ,,
穢れの土人形, Defiled Earth Figure ,,
穢れの信徒, Defiled Follower ,,
亡者司祭メンヴィル, Menvili the Undead Priest ,,
疫呪の使徒, Plague Apostle ,,
ムジナ団狼使い, Badger Wolf Tamer ,,
テイムド・ダイアウルフ, Tamed Direwolf ,,
ブリア宝奪団, Breya Treasure Bandit ,,
財宝守りの海竜, Sea Dragon the Treasure Guardian ,,
水路の大猿, Dread Ape of the Aqueduct ,,
魔獅子シンガ, Magic Lion Singa ,,
ピット・, Pit ,,
ボルドバンガー・, Volden Vanguard ,,
強炭性, Charcoal ,,
ムジナ団頭領, Badger Chieftain ,,
ムジナ団員, Badger Member ,,
ケイブ・, Cave ,,
カタコンベ・プリースト, Catacombs Priest ,,
カタコンベの守兵, Catacombs Guard ,,
いびき鳴り, Snoring ,,
魔女の従僕, Witch's Servant ,,
魔女マリヴェラ, Maribel the Witch ,,
死体齧りの, Corpse-Eating ,,
グレイブワーグ, Gravewarg ,,
戦鬼ゲソム, Gesomu the War Demon ,,
戦鬼の副官, War Demon's Lieutenant ,,
蒼葉の, Greenleaf ,,
"""白い災厄""エルダーアングルス","  ""White Calamity"" Elder Angules  ",,
影穴の軍狼, Wolf of Shadows ,,
影穴の部隊兵, Troop of Shadows ,,
神花の, Divine Blossom ,,
テゴル不死兵, Tegor Immortal Soldier ,,
納骨堂の屍食鬼, Ossuary Ghoul ,,
ドラワン不死兵, Drawan Immortal Soldier ,,
魔女ノシュギア, Witch Noshgear ,,
分隊, Squad ,,
封呪の, Runed ,,
高輝度, Bright ,,
冥土の黒騎士, Black Knight of the Underworld ,,
呪われし番兵, Accursed Guard ,,
呪われし女官, Accursed Court Lady ,,
不死薬被検者, Immortal Drug Test Subject ,,
セラーケイブ・, Cellar Cave ,,
錬魔士ヒエニムス, Hieronymus the Alchemist ,,
高純度ストーンアイ, High Purity Stone Eye ,,
霊薬師セルギウス, Sergius the Apothecary ,,
キーテイカー・, Key Bearer ,,
さまよえる戦徒, Corrupted Myrmidon ,,
ポーンクラッシャー, Pawn Crusher ,,
はぐれ, Stray ,,
侵攻兵, Invader ,,
精鋭兵, Elite ,,
総大将, Supreme Commander ,,
大隊長, Battalion Commander ,,
強襲兵, Assault Soldier ,,
？？？, ？？？ ,,
破砦用, Wall-Breaker ,,
召喚されし, Summoned ,,
部隊長, Commanding Officer ,,
小隊長, Platoon Leader ,,
急襲の, Raid ,,
瘴気の魔獣, Miasmic Demon ,,
第１守備隊, 1st Garrison ,,
第２守備隊, 2nd Garrison ,,
第３守備隊, 3rd Garrison ,,
第５守備隊, 5th Garrison ,,
第６守備隊, 6th Garrison ,,
幻影牙竜, Phantom Tusk Dragon ,,
幻影魔竜, Phantom Devil Dragon ,,
製造番号1017 ゴリアテ改, Serial No. 1017 Goliath ,,
リターン・ズール, Return Zuhl ,,
天上の幽姫, Heavenly Ghost Princess ,,
虚無の騎士, Noble Knight ,,
無より生み出されし, From Nothingness ,,
製造番号1020 ゴリアテ改, Serial No. 1020 Goliath ,,
・デスペアー, (Despair) ,,
黄金竜, The Golden Dragon ,,
特攻の, Kamikaze ,,
血珠の, Blood Orb ,,
珍種, Rare ,,
,  ,,
穢れの術師, Corrupter ,,
異界の邪霊, Wraith of the Underworld ,,
骨噛み, Bone-Eating ,,
ゴブリンイーター・, Goblin-Eating ,,
賞金首, Bounty ,,
ヤング・, Young ,,
ララバイ・クイーン, Lullaby Queen ,,
魔壁の時番, Time Bonus Magic-Shell ,,
鉄壁の時番, Time Bonus Iron-Clad ,,
強激の時番, Time Bonus Herculean ,,
魔激の時番, Time Bonus Mystical ,,
竜族？, Dragon Race? ,,
ディナン・ピアサー, Deenan Piercer ,,
金装のスケルトン, Gold Clothed Skeleton ,,
錬術の女守官, Alchemized Amazon ,,
穢れの大魔像, Impure Giant Demon ,,
ケイブレイダー, Cave Raider ,,
大騒音の主, Lord of Rock ,,
錬魔グリフィンNo.04, Alchemized Griffin No.04 ,,
煉獄の幽姫, Ghost Princess of Purgatory ,,
ブラックウィング, Black Wing ,,
ディープレイク・リンドブルム, Deep Lake Lindwurm ,,
烈翼の禽獅子, Fierce Winged Lion ,,
猛牙の銀獅子, Fierce Silver Lion ,,
幽姫の従士, Ghost Princess' Squire ,,
幽姫の騎士, Ghost Princess' Squire ,,
石呪を振りまく魔, Petrification-Spreading Demon ,,
闇呪をもたらす魔, Darkness-Cursing Demon ,,
強装巨人兵-Ⅱ型, Titan Soldier - Type II ,,
強装巨人兵-試作型, Titan Soldier - Prototype ,,
ララバイ・クィーン, Lullaby Queen ,,
ラウドネス・, Loudness ,,
呪われた魔鳥, Cursed Demon Bird ,,
総大将・鬼神, Demon General ,,
呪われた巨鳥, Cursed Large Bird ,,
呪われた騎士, Cursed Knight ,,
魔壁の護衛隊, Devil's Wall Guard ,,
鉄壁の護衛隊, Devil's Wall Guard ,,
ダンジョンキーボス, Dungeon Key Boss ,,
レスタライト・確率大,  ,,
ハイレスタライト・確率大,  ,,
鱗砂・確率大,  ,,
大粒の鱗砂・確率大,  ,,
輸送番, Transport ,,
Cダンジョンボスドロップ, C dungeon boss drop ,,
・ブレイズ, (Blaze) ,,
護衛隊, Convoy ,,
レスタライト・確率小,  ,,
ハイレスタライト・確率小,  ,,
侵食アイテム確定ドロップ, Corruption item guaranteed drop ,,
獄炎の大魔像, Great Demon Statue of Hellfire ,,
汚泥の傀儡, Sludge Puppet ,,
頑鋼の, Stubborn ,,
ディープミスト・ウィルム, Deep Mist Wyrm ,,
ディープニュート, Deep Newt ,,
艶羽根, Plume ,,
太牙の, Big Fang ,,
虹眼の, Rainbow-eyed Alchemy Eye ,,
剛皮の, Hardy ,,
ケイブレイダー・ドレイク, Cave Raider Drake ,,
ケイブレイダー・エンプレス, Cave Raider Empress ,,
光角の, Angules of Light ,,
ブラックウィドウ, Black Widow ,,
エントアンガー, Entanger ,,
活枝の, Live Branch Ent ,,
威容の, Majestic Chimera ,,
蒼氷のウィルム, Pale Ice Wyrm ,,
赤熱のギガン・マキナ, Red-Hot Giga Machina ,,
石影の, Stone Shadow ,,
恐声の, Fearful Voice ,,
黒艶の, Glossy Black Griffin ,,
業火の, Hellfire ,,
朱炎の, Vermilion Flame ,,
白亜の, Chalk ,,
グリフィン・ノワール, Griffin Noir ,,
デスナイト・ノワール, Death Knight Noir ,,
暗鉄の, Dark Iron ,,
石呪をもたらす魔鶏, Petrifying Demon Cockerel ,,
暴虐の一つ目, One-Eyed Tyrant ,,
凶牙の霧竜, Sharp Fang Mist Dragon ,,
凶爪の白獅子, Wicked Clawed White Lion ,,
氷結の, Frozen Wyrm ,,
強装巨人兵-Ⅲ型, Titan Soldier - Type 3 ,,
炎装造魔兵-実戦型, Fire-armed Magickal Construct - Combat Type ,,
冥き深奥の主, Master of Dark Depths ,,
ディアマンテスの影, Shadow of Diamantes ,,
灼けつく竜力, Scorching Dragon Force ,,
凍てつく竜力, Freezing Dragon Force ,,
ダムドデストロイヤー, Damned Destroyer ,,
ギガンブレイカー, Giga Breaker ,,
デモリッションファング, Demolition Fang ,,
死を呼ぶ闇騎士, Death Calling Dark Knight ,,
カラミティコーラ, Calamity Caller ,,
死を招く魔姫, Death Courting Demon Princess ,,
霜竜フロストウィルム, Frost Wyrm ,,
灼竜ファイアドレイク, Fire Drake ,,
大角の戦鬼将, Great Horned War Demon ,,
オーク軍精鋭隊, Orc Elite Force ,,
戦鬼覇王モゴック,"  Mogok, the Supreme Warrior  ",,
軍獣サヴェッジキメラ, War Beast Savage Chimera ,,
オーク軍近衛隊, Orcish Kingsguard ,,
スカルサージェント, Skill Sergeant ,,
メイルサージェント, Mail Sergeant ,,
大鴉ハーピー, The Crow Harpy ,,
復讐の戦鬼, Vengeful Warrior ,,
孤高の凶獣,"  Solitary beast, Mistwyrm  ",,
モゴック親衛隊長, Mogok Elite Guard Captain ,,
力に魅かれし, Enchanted by Power ,,
霊炎の, Ghost Flame ,,
霊氷の, Ghost Ice ,,
白の獅子王, The White Lion King ,,
百戦鬼将, Lord of a Hundred Battles ,,
深奥の従者, Servant of the Deep ,,
深奥の魔女, The Witch of the Deep ,,
虚無の追跡者, Chaser of Emptiness ,,
対の紅竜, Paired Red Dragon ,,
対の蒼竜, Paired Blue Dragon ,,
練習, Practice ,,
ダークビショップ, Dark Bishop ,,
（仮）封印の, (Tentative) Seal ,,
最終練磨, Final Test ,,
残党, Remnant ,,
徘徊, Wandering ,,
スパーク・ブルー, Spark Blue ,,
子攫いのメリーティア, Maritia the Kidnapper ,,
坑道の骸骨騎士, Skeleton Knight of the Tunnel ,,
霧に揺らぐ人影, Figure Fluctuating in the Mist ,,
ディスターブ・, Disturbed ,,
木立の石像鬼, Grove Statue Demon ,,
異端の, Heretic ,,
侵食に抗う戦鬼, Infection Resisting War Demon ,,
虚ろの騎士, Hollow Knight ,,
跡地荒らしの黒大鷲, Black Sea Eagle of the Ruined Site ,,
蝕まれし狂鷲, Corrupted and Berserk Eagle ,,
目覚めし氷騎士, Awakening Ice Knight ,,
製造番号1056 強襲型ゴリアテ, Assault-Type Goliath #1056 ,,
ルインズ・, Ruins ,,
墓守の獣, Gravekeep's Beast ,,
ボルディック・, Voldic ,,
忘却の, Oblivion ,,
怨姫ヴィルヘルミーナ, Malice Princess Wilhelmina ,,
ディープウェル・ミストレス, Deep Well Mistress ,,
テラス・ガーディアン, Terrace Guardian ,,
廃水路の奇獣, Strange Beast of the Abandoned Waterway ,,
眠らずの冥騎士, Restless Death Knight ,,
魔獣喰いの, Beast Devourer ,,
異形化, Variant ,,
墓所の, Tomb ,,
哀惜の幽鬼, Specter of Lament ,,
未知の魔物？, Unknown Beast? ,,
巣窟の主, Den Master ,,
手負いの, Wounded ,,
牙剥く, Bare Fangs ,,
襲来, Invading ,,
侵食されし有翼, Infected Wings ,,
強襲, Assault ,,
嗅ぎつけた, Sniffing Manticore ,,
囁き惑わす魔女, Luring Witch ,,
招き寄せる魔女, Beckoning Witch ,,
石息吹きの魔女, The Stone-Breathing Witch ,,
行く手をはばむ傀儡, Obstructing Puppet ,,
淀みの衛士人形, Guard Doll of Stagnation ,,
淀みの衛士傀儡, Guard Puppet of Stagnation ,,
宝魔主, Treasure Guardian Lord ,,
マイセリウム・ベヘモット, Mycelium Behemoth ,,
宝守, Treasure Guard ,,
・エクストラ, (Extra) ,,
昌石を秘めた, Hidden Gemstones ,,
財宝を秘めた, Hidden Treasures ,,
竜力を秘めた, Hidden Dragon Force ,,
宝飾を秘めた, Hidden Jewelry ,,
召喚士, Summoner ,,
甦生した, Revived ,,
黒闇より甦りし, Raised from the Darkness ,,
異界の, Otherworldly ,,
狭間の, Threshold ,,
隷下部隊, Subordinate Troop ,,
隷下部隊長, Subordinate Commanding Officer ,,
隷下部大隊長, Subordinate Commanding Officer ,,
甦生したボルドバンガー・, Resurrected Lindwurm ,,
第一練磨, First Test ,,
第二練磨, Second Test ,,
礎の番人, Foundation Guardian ,,
淀みの戦徒, Myrmidon of Stagnation ,,
ストレングス・, [Strength] ,,
テンパランス・, [Temperance] ,,
ハイエロファント・, [The Hierophant] ,,
マジシャン・, [The Magician] ,,
大竜力の精兵, Great Dragon Force Elite Soldier ,,
ＨＰ２倍だよ！, Double HP! ,,
のけぞりぶっとび２倍だよ！, Double Stagger/Knockback! ,,
ゆさぶり２倍だよ！, Double Shaking! ,,
のけぶ＆ゆさ２倍だよ！, Double Knockback/Shaking! ,,
検証用, Verification ,,
ラヴァーズ・, [The Lovers] ,,
ハーミット・, [The Hermit] ,,
ハングドマン・, [The Hanged Man] ,,
ジャスティス・, [Justice] ,,
エンペラー・, [The Emperor] ,,
デビル・, [The Devil] ,,
フォーチュン・, [Fortune] ,,
ジャッジメント・, [Judgement] ,,
謎の魔物, Mysterious Beast ,,
廃村に巣食う, Deserted Village Haunting ,,
試練の魔物, Trial Beast ,,
ロイグの家畜, Loeg's Tamed ,,
樹内に蔓延る, Tree-Dwelling ,,
キャニオンガードエント, Canyon Guard ,,
黒騎士ロイグ, Black Knight Loeg ,,
獣の主, Beastlord ,,
鍵を奪った墓守, Grave Keeper who stole the key ,,
鳴動の甲竜, Rumbling Shell Dragon ,,
妨害, Interfering ,,
急襲する石魔, Stone Golem Ambusher ,,
招かれざる白鷲, Unbidden White Eagle ,,
群れる, Flock ,,
同胞, Fellow ,,
荒れ崩す, Demolishing ,,
川辺の, Riverside ,,
命屠る, Life Slaughtering ,,
神殿に巣食う, Nesting in the Temple ,,
目覚めし, Awakened ,,
怒り狂う大甲竜, Raging Great Shell Dragon ,,
緑の森護獣, Green Forest Guardian Beast ,,
村潰しの, the Village Crusher ,,
さまよう, Wandering ,,
蝕み散らす大鷲, Corruption Spreading Eagle ,,
忘れ去られた, Forgotten ,,
災厄を呼ぶ, Disaster Bringer ,,
変異, Mutated ,,
大変異, Highly Mutated ,,
鍵番, Key Guardian ,,
歪みの執行人, Agent of Corruption ,,
試練, Trial ,,
行く手を阻む, Obstructing ,,
瘴気を纏う, Miasmatic ,,
神殿に棲む, Temple Nesting ,,
魔を呼ぶ, Demon Calling ,,
呼び寄せられた, Called ,,
泉の番人, Fountain Guardian ,,
宝の番人, Treasure Guardian ,,
甲竜に怯える, frightened of the Shell Dragon ,,
襲撃, Raid ,,
竜力に引かれた, Drawn by Dragon Force ,,
集いし者たち, The Gathered Ones ,,
淀みの影, Shadow of Stagnation ,,
傷ついた, Wounded ,,
対の大竜力・天, Pair of Great Dragon Force - Heaven ,,
対の大竜力・地, Pair of Great Dragon Force - Earth ,,
蒼甲竜, Pale Shell Dragon ,,
お化け, Ghost ,,
樹内の記憶, Memory Within the Tree ,,
うめきの記憶, Memory of Sighs ,,
祈りの記憶, Memory of Prayer ,,
魔封の竜晶, Dragon Crystal of Evil Sealing ,,
力滅の竜晶, Dragon Crystal of Power Sapping ,,
呪符に保護されし, Protected by an Amulet ,,
呪符の番人, Guardian of the Amulet ,,
召喚されし邪悪の眷属, Summoned Servant of Evil ,,
怪しい盗賊団, Suspicious Bandit ,,
