Japanese,English
ヴァルテブル・ホール　地下深部,Valtable Hall Deep Underground
ヴァルテブル・ホール　地下最深部,Valtable Hall Deepest Underground
ヴァルテブル・ホール　地下,Valtable Hall Underground
ヴァルテブル・ホール　上部,Valtable Hall Upper Area
ヴァネッサ,Vanessa
ヴァネッサの私室,Vanessa's Private Room
ヴェイガサス回廊,Vegasa Corridor
ヴェイガサス回廊　中央通路,Vegasa Corridor Center Passage
ヴェイガサス回廊　左通路,Vegasa Corridor Left Passage
ヴェイガサス回廊　右通路,Vegasa Corridor Right Passage
バーノン,Vernon
バーサ,Versa
古参の覚者,Veteran Arisen
歴戦の戦士,Veteran Knight
ヴァイスロット,Vicelot
ヴィクトル,Victor
ビデリア,Videlia
助けを求める村人男,Village male seeking help
助けを求める村人女,Village woman seeking help
村の枯れ井戸,Village's Abandoned Well
村人,Villager
訪いの広場,Visiting Square
ボルドー,Volden
ボルド大鉱山,Volden Great Mines
ボルド大坑道,Volden Large Tunnels
ボルド鉱山,Volden Mines
ボルド小坑道,Volden Narrow Tunnels
ヴォーラ,Vora
淀みの渦,Vortex of Stagnation
嘆きの湿原,Wailing Wetland
ウォルト,Walt
ウォルター,Walter
流浪の探究者,Wandering Seeker
ワンゴ,Wango
戦鬼の陣屋,War Demons' Encampment
戦鬼の影穴,War Demons' Hideout
戦の将,War Master
歪みの樹冠,Warped Canopy
ウォリアー,Warrior
水獣の棲み処,Water Beasts' Habitat
取水場跡,Water Channel Ruins
水竜の王,Water Dragon King
水流制御室,Water Flow Control Room
滝鳴洞穴,Waterfall Echo Cavern
滝鳴洞穴　東,Waterfall Echo Cavern East
滝鳴洞穴　北,Waterfall Echo Cavern North
滝鳴洞穴　南,Waterfall Echo Cavern South
滝鳴洞穴　西,Waterfall Echo Cavern West
瀑布の大岩窟,Waterfall Great Cavern
水底の古道,Watersdeep Old Road
物憂げなハーピー,Weary Harpy
屍のすすり泣く地,Weeping Corpse Ground
ダウ渓谷 西側,West Dowe Valley
フェルヤナ荒原 西側,West Feryana Wilderness
暗黒の統べる地　西端,West Land of Darkness
西ミスリウ橋,West Mysree Bridge
ザンドラ禁域 西側,West Zandora Wastelands
ウルテカ山岳 西部,Western Urteca Mountains
船着き場,Wharf
リンウッド組合宿　白鹿亭,White Deer Inn
白衛騎士団員,White Knight
白衛騎士団3,White Knights 3
白砂河原,White Sands Riverbank
ポーン会話用ワイルド,Wild Pawn
ウィルソン,Wilson
ワイニ,Wine
崩れかけたワイン庫,Wine Cellar Ruins
翼風高原,Wing Wind Plateau
ウィニー,Winnie
薄煙の荒れ地,Wispy Wasteland
藤棚の枯井戸,Wisteria Arbor Withering Well
藤棚の枯井戸　中央通路,Wisteria Arbor Withering Well Center Passage
藤棚の枯井戸　最深部,Wisteria Arbor Withering Well Innermost Depths
予備枠,Witness
女,Woman
女性,Woman
子供連れの女性,Woman with children
傷付いた戦士,Wounded Warrior
ヤンクス,Yanks
ヤンクスの武器屋,Yanks' Weapon Shop
イミズディット遺跡,Yimidhitt Ruins
イミズディット遺跡 深層部,Yimidhitt Ruins Inner Depths
イミズディット遺跡 通路,Yimidhitt Ruins: Passage
ヨナス,Yonas
ユーイン,Youin
ユセフ,Youssef
ユイアト,Yuiato
ユーミット,Yumit
ユニ,Yuni
ユーリ,Yuri
ザカリー,Zachary
ザンドラ礼拝堂,Zandora Chapel
ザンドラ灯台,Zandora Lighthouse
ザンドラ禁域,Zandora Wastelands
標の祠　ザンドラ禁域,Zandora Wastelands Shrine
ゼフ,Zef
ゼキ,Zeki
ツエッペリ,Zeppeli
ゼルキン,Zerkin
ゾルタ,Zolta
ゾマ,Zoma
ズール,Zuhl
ズタン,Zutan
【紡ぎし望み】悪しき竜のねぐら,【Spun Hope】 Evil Dragon's Roost
